,DAYOFWEEK,JOBS,SHIFT,LOCATION,STDREG,STDOT,DIFFERENTIAL,OTRATE,REGRATE,REGHRS,OTHRS,PAY,YEAR
mon-fri day,"1 , 2 , 3 , 4 , 5",RUBBER TIRE GANTRY,DAY,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",53.17,79.76,1,80.76,54.17,8,1, 514.12 ,2024
mon-fri night,"1 , 2 , 3 , 4 , 5",RUBBER TIRE GANTRY,NIGHT,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",66.98,100.47,1,101.47,67.98,8,0, 543.84 ,2024
mon-fri gravy,"1 , 2 , 3 , 4 , 5",RUBBER TIRE GANTRY,GRAVEYARD,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",82.73,124.1,1,125.1,83.73,6.5,0, 544.25 ,2024
,,,,,,,,,,,,,
Sat day,6,RUBBER TIRE GANTRY,DAY,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",68.06,102.09,1,103.09,69.06,8,0, 552.48 ,2024
Sat night,6,RUBBER TIRE GANTRY,NIGHT,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",85.07,127.61,1,128.61,86.07,8,0, 688.56 ,2024
Sat gravy,6,RUBBER TIRE GANTRY,GRAVEYARD,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",85.07,127.61,1,128.61,86.07,6.5,0, 559.46 ,2024
,,,,,,,,,,,,,
Sun day,0,RUBBER TIRE GANTRY,DAY,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",85.07,127.61,1,128.61,86.07,8,0, 688.56 ,2024
Sun night,0,RUBBER TIRE GANTRY,NIGHT,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",85.07,127.61,1,128.61,86.07,8,0, 688.56 ,2024
Sun gravy,0,RUBBER TIRE GANTRY,GRAVEYARD,"CENTENNIAL, VANTERM, DELTAPORT, FRASER SURREY",85.07,127.61,1,128.61,86.07,6.5,0, 559.46 ,2024
