JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
40 TON (TOP PICK),DAY,CENTENNIAL,,9.0,0.0,221
40 TON (TOP PICK),DAY,VANTERM,,9.0,0.0,122
40 TON (TOP PICK),GRAVEYARD,CENTENNIAL,,7.5,0.0,166
40 TON (TOP PICK),GRAVEYARD,VANTERM,,9.0,0.0,67
40 TON (TOP PICK),NIGHT,CENTENNIAL,,9.0,0.0,123
40 TON (TOP PICK),NIGHT,VANTERM,,9.0,0.0,32
BULK OPERATOR,DAY,NEPTUNE,,7.5,0.5,90
BULK OPERATOR,DAY,PORT MOODY,,7.5,0.5,11
BULK OPERATOR,DAY,VAN WHARVES,,7.5,0.5,28
BULK OPERATOR,GRAVEYARD,NEPTUNE,,6.0,0.5,34
BULK OPERATOR,GRAVEYARD,PORT MOODY,,7.0,0.0,6
BULK OPERATOR,GRAVEYARD,VAN WHARVES,,6.0,1.0,4
BULK OPERATOR,NIGHT,NEPTUNE,,7.5,0.5,88
BULK OPERATOR,NIGHT,PORT MOODY,,7.5,0.5,8
BULK OPERATOR,NIGHT,VAN WHARVES,,7.5,1.5,19
BULLDOZER,DAY,NEPTUNE,,7.5,0.5,14
BULLDOZER,GRAVEYARD,NEPTUNE,,6.0,1.5,3
BUNNY BUS,DAY,CENTENNIAL,,9.0,0.0,15
BUNNY BUS,DAY,NEPTUNE,,7.5,0.5,3
BUNNY BUS,DAY,VANTERM,,7.5,0.5,3
BUNNY BUS,GRAVEYARD,CENTENNIAL,,7.5,0.0,35
BUNNY BUS,NIGHT,CENTENNIAL,,9.0,0.0,7
DOCK CHECKER,DAY,CANADA PLACE,,7.0,2.0,24
DOCK CHECKER,DAY,LYNNTERM,,4.0,1.0,7
DOCK CHECKER,DAY,NEPTUNE,,7.5,1.0,61
DOCK CHECKER,GRAVEYARD,NEPTUNE,,7.5,2.0,3
DOCK GANTRY,GRAVEYARD,CENTENNIAL,,0.0,5.0,7
DOCK GANTRY,GRAVEYARD,VANTERM,,0.0,5.0,7
DOW MEN,NIGHT,UNIVAR,,8.5,0.0,6
ELECTRICIAN,DAY,DELTAPORT,,7.5,1.5,113
ELECTRICIAN,DAY,NEPTUNE,,7.5,1.5,4
ELECTRICIAN,DAY,VANTERM,,4.0,1.0,3
ELECTRICIAN,GRAVEYARD,DELTAPORT,,6.0,1.5,17
ELECTRICIAN,GRAVEYARD,NEPTUNE,,3.0,0.5,3
ELECTRICIAN,NIGHT,DELTAPORT,,7.5,1.0,28
ELECTRICIAN,NIGHT,NEPTUNE,,7.5,1.5,8
EXCAVATOR,NIGHT,NEPTUNE,,7.5,0.5,6
FIRST AID,DAY,CENTENNIAL,DOCK (FA),8.0,1.0,55
FIRST AID,DAY,CENTENNIAL,SHIP (FA),8.0,0.5,3
FIRST AID,DAY,DELTAPORT,DOCK (FA),8.0,0.5,13
FIRST AID,DAY,FRASER SURREY,DOCK (FA),9.0,0.5,11
FIRST AID,DAY,FRASER SURREY,SHIP (FA),8.0,0.5,9
FIRST AID,DAY,LYNNTERM,DOCK (FA),8.0,1.0,4
FIRST AID,DAY,NEPTUNE,DOCK (FA),8.0,1.5,13
FIRST AID,DAY,PORT MOODY,DOCK (FA),8.0,0.5,5
FIRST AID,DAY,PORT MOODY,STORES (FA),8.0,1.0,5
FIRST AID,DAY,VAN WHARVES,DOCK (FA),8.0,1.5,35
FIRST AID,DAY,VAN WHARVES,SHIP (FA),8.0,0.5,7
FIRST AID,DAY,VAN WHARVES,STORES (FA),8.0,1.5,4
FIRST AID,DAY,VANTERM,DOCK (FA),8.0,1.0,7
FIRST AID,DAY,WATERFRONT TRAIN. CNTR,DOCK (FA),8.0,0.25,6
FIRST AID,GRAVEYARD,CENTENNIAL,DOCK (FA),6.5,1.0,57
FIRST AID,GRAVEYARD,DELTAPORT,DOCK (FA),6.5,0.5,3
FIRST AID,GRAVEYARD,FRASER SURREY,DOCK (FA),7.5,0.5,3
FIRST AID,GRAVEYARD,FRASER SURREY,SHIP (FA),7.5,0.5,4
FIRST AID,GRAVEYARD,NEPTUNE,DOCK (FA),6.5,0.5,13
