JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,REG HR_std,sample_size,REG RT_mean,REG RT_median,REG RT_std,OT HR_mean,OT HR_median,OT HR_std,OT RT_mean,OT RT_median,OT RT_std,totalpay_mean,totalpay_median,totalpay_std,confidence_mean,confidence_max
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,SHIP (TT),7.450204081632653,7.5,0.36185792629660135,2450,87.44927755102042,86.7,5.792205553152765,0.016097560975609757,0.0,0.20778971200643556,129.84067551020408,129.725,14.169984418285976,654.5612351980401,650.25,51.554345575102595,0.8453469387755101,1.0
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (TT),8.847758887171562,9.0,0.7898397172515685,1941,63.25939206594539,55.95,12.793595125224337,0.01458198314970836,0.0,0.12455343156497906,94.20007985574445,83.6,27.008867881370215,560.2931092220505,503.55,123.91370995994166,0.8463420917053065,1.0
LABOUR,DAY,CANADA PLACE,BLANK,7.705395299145299,8.0,0.6816192198080012,1872,68.02643886812601,55.3,14.712204708552404,1.2722772277227723,1.0,0.659126200420324,101.9381366791244,82.95,22.051095884920706,579.4878750667378,553.0,139.28484346661946,0.7283769353977576,1.0
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (TT),7.479960204661739,7.5,0.3356908360933398,1759,88.0007163160887,86.7,4.4306523130244395,0.015474552957359009,0.0,0.3379035631701287,131.64857021034678,129.725,6.613742599410889,660.4148038658328,650.25,59.628701253027245,0.8477828311540648,1.0
TRACTOR TRAILER,DAY,CENTENNIAL,SHIP (TT),8.92988578680203,9.0,2.1428363312447862,1576,63.63917512690355,55.95,13.335155130960104,0.02457757296466974,0.0,0.18013044565553152,95.29306154822335,83.6,33.73693153266935,570.4081123096447,503.55,169.35240151874,0.8493020304568528,1.0
TRACTOR TRAILER,DAY,VANTERM,SHIP (TT),7.9184350132626,8.0,0.5842817871448531,1508,61.685676392572944,55.95,11.76410772917448,0.06018518518518518,0.0,0.23656722572575792,91.55586870026525,83.6,18.656849845546244,490.1593861977439,447.6,101.01728829972502,0.6065318302387268,0.85
TRACTOR TRAILER,GRAVEYARD,VANTERM,SHIP (TT),6.507378777231201,6.5,0.19427915529512868,1423,86.72541110330287,86.7,6.491970282869446,0.019464720194647202,0.0,0.13383902087357455,128.67251932536894,129.725,15.465201632319008,565.1654627023223,563.55,39.54153194812068,0.604427266338721,0.85
LABOUR,DAY,LYNNTERM,BLANK,8.043540328336903,8.0,3.4253617160372856,1401,58.819400428265524,55.3,9.585848874265487,0.8571428571428571,1.0,0.3411150055400793,88.46239828693791,82.95,14.628266339565128,471.12041755888646,442.4,82.40549603996924,0.6085296216987865,0.85
TRACTOR TRAILER,NIGHT,CENTENNIAL,SHIP (TT),8.87547514619883,9.0,0.7556467221245792,1368,75.73254385964911,70.32,9.576357719632947,0.03464912280701754,0.0,0.31481053243774076,111.6123538011696,105.155,20.21332447600281,675.0342978801169,632.88,105.14999223627407,0.8499634502923976,1.0
RUBBER TIRE GANTRY,DAY,CENTENNIAL,,7.948194662480377,8.0,0.5689538143214051,1274,64.02637362637363,56.3,13.525435142512332,0.8695198329853863,1.0,0.3408606402846624,95.34830847723705,83.95,20.385728146954047,563.9624058084772,534.35,96.41911859479922,0.6038854003139718,0.9
