JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,sample_size,REG_HR_mode,REG RT_mean,REG RT_median,REG_RT_mode,OT HR_mean,OT HR_median,OT_HR_mode,OT RT_mean,OT RT_median,totalpay_mean,totalpay_median
(deleted option),DAY,NEPTUNE,,7.571428571428571,7.5,28,7.5,65.94821428571429,55.3,55.3,1.0185185185185186,1.0,0.5,98.02232142857143,82.95,600.3710714285714,539.175
(deleted option),DAY,PORT MOODY,,4.714285714285714,6.5,7,7.5,61.278571428571425,55.3,55.3,0.375,0.5,0.5,330.0364285714286,82.95,729.2935714285715,462.225
(deleted option),DAY,VAN WHARVES,,5.333333333333333,4.5,3,4.0,60.03333333333333,56.15,53.17,2.25,2.25,0.5,99.40833333333335,106.17,499.0,583.935
(deleted option),GRAVEYARD,NEPTUNE,,6.9,7.5,5,7.5,86.21,86.05,86.05,0.7,0.5,0.5,129.21999999999997,129.075,685.13,709.9125
(deleted option),GRAVEYARD,PORT MOODY,,6.0,6.0,5,6.0,84.976,85.07,86.85,0.8,0.5,0.5,96.1855,127.605,605.5865,586.04
(deleted option),GRAVEYARD,VAN WHARVES,,7.5,7.5,2,7.5,83.9,83.9,82.73,,,,125.85,125.85,629.25,629.25
(deleted option),NIGHT,NEPTUNE,,6.166666666666667,7.5,36,7.5,72.51694444444445,69.67,69.67,2.3823529411764706,0.5,0.5,108.439375,104.505,699.7445833333334,574.7775
(deleted option),NIGHT,PORT MOODY,,7.5,7.5,1,7.5,88.48,88.48,88.48,0.5,0.5,0.5,132.72,132.72,729.96,729.96
40 TON (TOP PICK),DAY,CENTENNIAL,,8.92081447963801,9.0,221,9.0,64.27651583710407,56.3,56.3,0.056910569105691054,0.0,0.0,95.64079185520363,83.95,576.8996832579186,506.7
40 TON (TOP PICK),DAY,DELTAPORT,,9.0,9.0,1,9.0,56.3,56.3,56.3,,,,83.95,83.95,586.455,586.455
40 TON (TOP PICK),DAY,LYNNTERM,,9.0,9.0,2,9.0,56.3,56.3,56.3,,,,83.95,83.95,506.7,506.7
40 TON (TOP PICK),DAY,VANTERM,,8.844262295081966,9.0,122,9.0,60.583114754098354,56.3,56.3,0.11057692307692307,0.0,0.0,90.26225409836066,83.95,545.0833401639344,506.7
40 TON (TOP PICK),GRAVEYARD,CENTENNIAL,,12.012048192771084,7.5,166,7.5,88.33692771084337,87.05,87.05,0.08737864077669903,0.0,0.0,130.1942469879518,130.075,1062.0711445783134,652.875
40 TON (TOP PICK),GRAVEYARD,VANTERM,,19.619402985074625,9.0,67,9.0,88.49373134328359,87.05,87.05,0.11403508771929824,0.0,0.0,130.29917910447762,130.075,1760.9975746268658,783.45
40 TON (TOP PICK),NIGHT,CENTENNIAL,,8.963414634146341,9.0,123,9.0,74.76260162601626,70.67,70.67,0.0125,0.0,0.0,111.6928861788618,105.505,670.4475203252032,636.03
40 TON (TOP PICK),NIGHT,VANTERM,,8.78125,9.0,32,9.0,74.9075,70.67,70.67,0.125,0.0,0.0,111.86125,105.505,671.8965625,636.03
BULK OPERATOR,DAY,FIBRECO,,4.0,4.0,1,4.0,56.3,56.3,56.3,,,,83.95,83.95,225.2,225.2
BULK OPERATOR,DAY,NEPTUNE,,7.355555555555555,7.5,90,7.5,68.04333333333332,56.45,56.45,0.6588235294117647,0.5,0.5,112.62555555555555,84.1,671.1623055555556,465.425
BULK OPERATOR,DAY,PORT MOODY,,7.636363636363637,7.5,11,7.5,65.00454545454545,56.45,56.3,0.5,0.5,0.5,96.97727272727273,84.1,543.6909090909091,548.675
BULK OPERATOR,DAY,VAN WHARVES,,7.607142857142857,7.5,28,7.5,70.57178571428571,68.06,56.5,0.7884615384615384,0.5,0.5,102.42750000000001,93.12,616.2471428571428,576.7149999999999
BULK OPERATOR,GRAVEYARD,NEPTUNE,,6.0,6.0,34,6.0,87.84088235294118,87.05,82.73,1.275,0.5,0.5,112.04191176470587,130.075,623.1513235294118,587.3375
BULK OPERATOR,GRAVEYARD,PORT MOODY,,7.0,7.0,6,7.0,87.52999999999999,87.05,87.05,0.75,0.75,0.0,130.87833333333333,130.075,645.43125,639.6175000000001
BULK OPERATOR,GRAVEYARD,VAN WHARVES,,6.0,6.0,4,6.0,88.315,88.265,87.05,0.875,1.0,1.0,131.9475,131.89749999999998,645.1225,652.375
BULK OPERATOR,NIGHT,NEPTUNE,,6.875,7.5,88,7.5,76.6775,70.745,70.67,1.108974358974359,0.5,0.5,114.0322159090909,105.5825,645.4716761363636,583.34
BULK OPERATOR,NIGHT,PORT MOODY,,7.375,7.5,8,7.5,77.0025,70.77000000000001,70.67,0.5,0.5,0.5,115.045,105.60749999999999,616.0303125,582.7775
BULK OPERATOR,NIGHT,VAN WHARVES,,7.105263157894737,7.5,19,7.5,73.72947368421053,70.82,70.67,1.5,1.5,1.5,110.3107894736842,105.66,672.7206578947369,688.2825
BULLDOZER,DAY,CHEMTRADE,,9.0,9.0,1,9.0,85.07,85.07,85.07,,,,127.605,127.605,765.63,765.63
BULLDOZER,DAY,NEPTUNE,,7.0,7.5,14,7.5,62.465714285714284,55.3,55.3,0.5,0.5,0.5,93.37714285714286,82.95,481.6064285714286,456.225
BULLDOZER,GRAVEYARD,NEPTUNE,,6.0,6.0,3,6.0,86.05,86.05,86.05,1.5,1.5,1.5,129.075,129.075,709.9125,709.9125
BULLDOZER,NIGHT,NEPTUNE,,7.5,7.5,1,7.5,88.48,88.48,88.48,0.5,0.5,0.5,132.72,132.72,729.96,729.96
BULLDOZER,NIGHT,VAN WHARVES,,7.5,7.5,2,7.5,79.075,79.075,69.67,1.25,1.25,1.0,118.6125,118.6125,744.855,744.855
BUNNY BUS,DAY,CENTENNIAL,,8.366666666666667,9.0,15,9.0,62.653999999999996,55.3,55.3,,,,93.786,82.95,528.8626666666667,497.7
BUNNY BUS,DAY,NEPTUNE,,7.5,7.5,3,7.5,71.52,70.78,55.3,0.5,0.5,0.5,107.28000000000002,106.17,590.04,583.935
BUNNY BUS,DAY,VANTERM,,10.333333333333334,7.5,3,7.5,65.62,70.78,70.78,0.5,0.5,0.5,98.43,106.17,684.2233333333334,583.935
BUNNY BUS,GRAVEYARD,CENTENNIAL,,7.5,7.5,35,7.5,87.184,86.05,86.05,0.3333333333333333,0.0,0.0,130.77599999999998,129.075,661.3598571428572,645.375
BUNNY BUS,GRAVEYARD,VANTERM,,8.0,8.0,1,8.0,53.67,53.67,53.67,,,,80.255,80.255,429.36,429.36
BUNNY BUS,NIGHT,CENTENNIAL,,9.0,9.0,7,9.0,75.04428571428572,69.67,69.67,,,,112.56642857142856,104.505,675.3985714285715,627.03
BUNNY BUS,NIGHT,NEPTUNE,,7.5,7.5,1,7.5,89.13,89.13,89.13,0.5,0.5,0.5,133.37,133.37,735.16,735.16
CARPENTER,NIGHT,CARGILL,,10.0,10.0,1,10.0,72.17,72.17,72.17,0.5,0.5,0.5,107.005,107.005,828.3725,828.3725
DOCK CHECKER,DAY,CANADA PLACE,,7.0,7.0,24,7.0,64.55499999999999,55.8,55.8,1.9583333333333333,2.0,2.0,96.5825,83.45,640.6054166666667,557.5
DOCK CHECKER,DAY,LYNNTERM,,4.714285714285714,4.0,7,4.0,58.01142857142857,55.8,55.8,0.6666666666666666,1.0,1.0,86.76714285714286,83.45,295.74571428571426,285.12
DOCK CHECKER,DAY,NEPTUNE,,7.5,7.5,61,7.5,59.707868852459015,55.8,55.8,1.2950819672131149,1.0,1.0,89.3527868852459,83.45,563.2484426229508,501.95
DOCK CHECKER,GRAVEYARD,NEPTUNE,,7.0,7.5,3,7.5,84.98,82.73,82.73,2.0,2.0,2.0,127.13666666666666,124.095,681.4233333333333,620.475
DOCK CHECKER,NIGHT,LYNNTERM,,4.0,4.0,1,4.0,70.17,70.17,70.17,,,,105.005,105.005,280.68,280.68
DOCK CHECKER,NIGHT,NEPTUNE,,7.5,7.5,1,7.5,88.98,88.98,88.98,1.5,1.5,1.5,88.98,88.98,800.82,800.82
DOCK CHECKER,NIGHT,RICHARDSON,,7.5,7.5,1,7.5,70.17,70.17,70.17,0.5,0.5,0.5,105.005,105.005,578.7775,578.7775
DOCK GANTRY,DAY,CENTENNIAL,,4.0,4.0,1,4.0,111.6,111.6,111.6,,,,166.9,166.9,446.4,446.4
DOCK GANTRY,DAY,VANTERM,,4.0,4.0,1,4.0,53.17,53.17,53.17,,,,79.755,79.755,212.68,212.68
DOCK GANTRY,GRAVEYARD,CENTENNIAL,,2.7142857142857144,3.5,7,0.0,88.09142857142857,87.05,87.05,3.75,5.0,5.0,131.63714285714283,130.075,520.2178571428572,650.375
DOCK GANTRY,GRAVEYARD,VANTERM,,1.0714285714285714,0.0,7,0.0,88.09142857142857,87.05,87.05,5.166666666666667,5.0,5.0,131.63714285714283,130.075,677.6457142857143,650.375
DOCK GANTRY,NIGHT,CENTENNIAL,,0.0,0.0,1,0.0,89.48,89.48,89.48,5.0,5.0,5.0,133.72,133.72,668.6,668.6
DOCK GANTRY,NIGHT,VANTERM,,0.0,0.0,1,0.0,15.0,15.0,15.0,5.0,5.0,5.0,111.06,111.06,555.3,555.3
DOW MEN,DAY,UNIVAR,,8.5,8.5,2,8.5,53.17,53.17,53.17,,,,79.755,79.755,451.945,451.945
