JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,REG_RATE,SAMPLE_SIZE,CONFIDENCE
(deleted option),DAY,NEPTUNE,,7.5,0.5,55.3,28,HIGH
(deleted option),DAY,PORT MOODY,,7.5,0.5,55.3,7,HIGH
(deleted option),DAY,VAN WHARVES,,4.0,0.5,53.17,3,HIGH
(deleted option),GRAVEYARD,NEPTUNE,,7.5,0.5,86.05,5,HIGH
(deleted option),GRAVEYARD,PORT MOODY,,6.0,0.5,86.85,5,HIGH
(deleted option),NIGHT,NEPTUNE,,7.5,0.5,69.67,36,HIGH
40 TON (TOP PICK),DAY,CENTENNIAL,,9.0,0.0,56.3,221,HIGH
40 TON (TOP PICK),DAY,VANTERM,,9.0,0.0,56.3,122,HIGH
40 TON (TOP PICK),GRAVEYARD,CENTENNIAL,,7.5,0.0,87.05,166,HIGH
40 TON (TOP PICK),GRAVEYARD,VANTERM,,9.0,0.0,87.05,67,HIGH
40 TON (TOP PICK),NIGHT,CENTENNIAL,,9.0,0.0,70.67,123,HIGH
40 TON (TOP PICK),NIGHT,VANTERM,,9.0,0.0,70.67,32,HIGH
BULK OPERATOR,DAY,NEPTUNE,,7.5,0.5,56.45,90,HIGH
BULK OPERATOR,DAY,PORT MOODY,,7.5,0.5,56.3,11,HIGH
BULK OPERATOR,DAY,VAN WHARVES,,7.5,0.5,56.5,28,HIGH
BULK OPERATOR,GRAVEYARD,NEPTUNE,,6.0,0.5,82.73,34,HIGH
BULK OPERATOR,GRAVEYARD,PORT MOODY,,7.0,0.0,87.05,6,HIGH
BULK OPERATOR,GRAVEYARD,VAN WHARVES,,6.0,1.0,87.05,4,HIGH
BULK OPERATOR,NIGHT,NEPTUNE,,7.5,0.5,70.67,88,HIGH
BULK OPERATOR,NIGHT,PORT MOODY,,7.5,0.5,70.67,8,HIGH
BULK OPERATOR,NIGHT,VAN WHARVES,,7.5,1.5,70.67,19,HIGH
BULLDOZER,DAY,NEPTUNE,,7.5,0.5,55.3,14,HIGH
BULLDOZER,GRAVEYARD,NEPTUNE,,6.0,1.5,86.05,3,HIGH
BUNNY BUS,DAY,CENTENNIAL,,9.0,,55.3,15,HIGH
BUNNY BUS,DAY,NEPTUNE,,7.5,0.5,55.3,3,HIGH
BUNNY BUS,DAY,VANTERM,,7.5,0.5,70.78,3,HIGH
BUNNY BUS,GRAVEYARD,CENTENNIAL,,7.5,0.0,86.05,35,HIGH
BUNNY BUS,NIGHT,CENTENNIAL,,9.0,,69.67,7,HIGH
DOCK CHECKER,DAY,CANADA PLACE,,7.0,2.0,55.8,24,HIGH
DOCK CHECKER,DAY,LYNNTERM,,4.0,1.0,55.8,7,HIGH
DOCK CHECKER,DAY,NEPTUNE,,7.5,1.0,55.8,61,HIGH
DOCK CHECKER,GRAVEYARD,NEPTUNE,,7.5,2.0,82.73,3,HIGH
DOCK GANTRY,GRAVEYARD,CENTENNIAL,,0.0,5.0,87.05,7,HIGH
DOCK GANTRY,GRAVEYARD,VANTERM,,0.0,5.0,87.05,7,HIGH
DOW MEN,NIGHT,UNIVAR,,8.5,,66.98,6,HIGH
ELECTRICIAN,DAY,DELTAPORT,,7.5,1.5,57.8,113,HIGH
ELECTRICIAN,DAY,NEPTUNE,,7.5,1.5,57.8,4,HIGH
ELECTRICIAN,DAY,VANTERM,,4.0,1.0,57.8,3,HIGH
ELECTRICIAN,GRAVEYARD,DELTAPORT,,6.0,1.5,88.55,17,HIGH
ELECTRICIAN,GRAVEYARD,NEPTUNE,,3.0,0.5,82.73,3,HIGH
ELECTRICIAN,NIGHT,DELTAPORT,,7.5,1.0,72.17,28,HIGH
ELECTRICIAN,NIGHT,NEPTUNE,,7.5,1.5,72.17,8,HIGH
EXCAVATOR,NIGHT,NEPTUNE,,7.5,0.5,69.67,6,HIGH
FIRST AID,DAY,CENTENNIAL,DOCK (FA),8.0,1.0,53.67,55,HIGH
FIRST AID,DAY,CENTENNIAL,SHIP (FA),8.0,0.5,55.8,3,HIGH
FIRST AID,DAY,DELTAPORT,DOCK (FA),8.0,0.5,55.8,13,HIGH
FIRST AID,DAY,FRASER SURREY,DOCK (FA),9.0,0.5,55.8,11,HIGH
FIRST AID,DAY,FRASER SURREY,SHIP (FA),8.0,0.5,55.8,9,HIGH
FIRST AID,DAY,LYNNTERM,DOCK (FA),8.0,1.0,55.8,4,HIGH
FIRST AID,DAY,NEPTUNE,DOCK (FA),8.0,1.5,55.8,13,HIGH
FIRST AID,DAY,PORT MOODY,DOCK (FA),8.0,0.5,55.8,5,HIGH
FIRST AID,DAY,PORT MOODY,STORES (FA),8.0,1.0,56.3,5,HIGH
FIRST AID,DAY,VAN WHARVES,DOCK (FA),8.0,1.5,55.8,35,HIGH
FIRST AID,DAY,VAN WHARVES,SHIP (FA),8.0,0.5,55.8,7,HIGH
FIRST AID,DAY,VAN WHARVES,STORES (FA),8.0,1.5,55.3,4,HIGH
FIRST AID,DAY,VANTERM,DOCK (FA),8.0,1.0,88.98,7,HIGH
FIRST AID,DAY,WATERFRONT TRAIN. CNTR,DOCK (FA),8.0,0.25,55.8,6,HIGH
FIRST AID,GRAVEYARD,CENTENNIAL,DOCK (FA),6.5,1.0,83.23,57,HIGH
FIRST AID,GRAVEYARD,DELTAPORT,DOCK (FA),6.5,0.5,83.23,3,HIGH
FIRST AID,GRAVEYARD,FRASER SURREY,DOCK (FA),7.5,0.5,86.55,3,HIGH
FIRST AID,GRAVEYARD,FRASER SURREY,SHIP (FA),7.5,0.5,86.55,4,HIGH
FIRST AID,GRAVEYARD,NEPTUNE,DOCK (FA),6.5,0.5,86.55,13,HIGH
FIRST AID,GRAVEYARD,PORT MOODY,SHIP (FA),6.5,0.5,86.55,3,HIGH
FIRST AID,GRAVEYARD,VAN WHARVES,DOCK (FA),6.5,0.5,86.55,3,HIGH
FIRST AID,NIGHT,CENTENNIAL,DOCK (FA),8.0,1.0,70.17,6,HIGH
FIRST AID,NIGHT,FRASER SURREY,SHIP (FA),8.0,0.5,70.17,4,HIGH
FIRST AID,NIGHT,PORT MOODY,DOCK (FA),8.0,1.0,70.17,8,HIGH
FIRST AID,NIGHT,PORT MOODY,STORES (FA),8.0,1.0,70.67,10,HIGH
FRONT END LOADER,DAY,NEPTUNE,,7.5,0.5,55.3,16,HIGH
FRONT END LOADER,DAY,VAN WHARVES,,7.5,1.5,55.3,28,HIGH
FRONT END LOADER,GRAVEYARD,NEPTUNE,,6.0,0.5,86.05,16,HIGH
FRONT END LOADER,GRAVEYARD,VAN WHARVES,,6.0,1.5,86.05,5,HIGH
FRONT END LOADER,NIGHT,NEPTUNE,,7.5,0.5,69.67,7,HIGH
FRONT END LOADER,NIGHT,VAN WHARVES,,7.5,0.5,69.67,11,HIGH
HD MECHANIC,DAY,DELTAPORT,,7.5,0.5,55.67,12,HIGH
HD MECHANIC,DAY,FRASER SURREY,,9.0,0.0,87.57,8,HIGH
HD MECHANIC,DAY,LYNNTERM,,4.0,1.0,57.8,8,HIGH
HD MECHANIC,DAY,VANTERM,,4.0,1.0,57.8,8,HIGH
HD MECHANIC,GRAVEYARD,DELTAPORT,,6.0,0.5,88.55,5,HIGH
HD MECHANIC,GRAVEYARD,FRASER SURREY,,8.0,0.0,85.23,7,HIGH
HD MECHANIC,GRAVEYARD,VANTERM,,7.0,0.0,88.55,3,HIGH
HD MECHANIC,NIGHT,DELTAPORT,,7.5,0.5,69.48,9,HIGH
HD MECHANIC,NIGHT,FRASER SURREY,,9.0,0.0,69.48,22,HIGH
HD MECHANIC,NIGHT,VANTERM,,6.5,,88.55,3,HIGH
HEAD CHECKER,DAY,CENTENNIAL,CANOPY (HC),8.0,2.0,55.95,24,HIGH
HEAD CHECKER,DAY,CENTENNIAL,EQUIP. CONTROL (HC),8.0,2.0,55.95,179,HIGH
