DAYOFWEEK,DNG,SHIFT,eff_start,eff_end,JOBS,LOCATION,SUBJOB,REGHRS,OTHRS,REGRATE,OTRATE,DIFFERENTIAL,DIFFERENTIAL_CLASS,YEAR,SAMPLE_SIZE,CONFIDENCE
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,79.45,119.18,0.65,CLASS_3,1,2450,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,81.67,122.5,0.65,CLASS_3,1,2450,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,81.67,122.5,0.65,CLASS_3,1,2450,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,83.38,125.07,0.65,CLASS_3,2,2450,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,85.72,128.58,0.65,CLASS_3,2,2450,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,85.72,128.58,0.65,CLASS_3,2,2450,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,86.7,130.05,0.65,CLASS_3,3,2450,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,89.13,133.69,0.65,CLASS_3,3,2450,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,89.13,133.69,0.65,CLASS_3,3,2450,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,90.14,135.21,0.65,CLASS_3,4,2450,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),7.5,0.0,92.67,139.0,0.65,CLASS_3,4,2450,HIGH
