JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,
40 TON (TOP PICK),DAY,CENTENNIAL,,9,0,9
40 TON (TOP PICK),DAY,VANTERM,,9,0,9
40 TON (TOP PICK),GRAVEYARD,CENTENNIAL,,7.5,0,7.5
40 TON (TOP PICK),GRAVEYARD,VANTERM,,9,0,9
40 TON (TOP PICK),NIGHT,CENTENNIAL,,9,0,9
40 TON (TOP PICK),NIGHT,VANTERM,,9,0,9
BULK OPERATOR,DAY,NEPTUNE,,7.5,0.5,8
BULK OPERATOR,DAY,PORT MOODY,,7.5,0.5,8
BULK OPERATOR,DAY,VAN WHARVES,,7.5,0.5,8
BULK OPERATOR,GRAVEYARD,NEPTUNE,,6,0.5,6.5
BULK OPERATOR,GRAVEYARD,PORT MOODY,,7,0,7
BULK OPERATOR,GRAVEYARD,VAN WHARVES,,6,1,7
BULK OPERATOR,NIGHT,NEPTUNE,,7.5,0.5,8
BULK OPERATOR,NIGHT,PORT MOODY,,7.5,0.5,8
BULK OPERATOR,NIGHT,VAN WHARVES,,7.5,1.5,9
BULLDOZER,DAY,NEPTUNE,,7.5,0.5,8
BULLDOZER,GRAVEYARD,NEPTUNE,,6,1.5,7.5
BUNNY BUS,DAY,CENTENNIAL,,9,0,9
BUNNY BUS,DAY,NEPTUNE,,7.5,0.5,8
BUNNY BUS,DAY,VANTERM,,7.5,0.5,8
BUNNY BUS,GRAVEYARD,CENTENNIAL,,7.5,0,7.5
BUNNY BUS,NIGHT,CENTENNIAL,,9,0,9
DOCK CHECKER,DAY,CANADA PLACE,,7,2,9
DOCK CHECKER,DAY,NEPTUNE,,7.5,1,8.5
DOCK CHECKER,GRAVEYARD,NEPTUNE,,7.5,2,9.5
DOW MEN,NIGHT,UNIVAR,,8.5,0,8.5
ELECTRICIAN,DAY,DELTAPORT,,7.5,1.5,9
ELECTRICIAN,DAY,NEPTUNE,,7.5,1.5,9
ELECTRICIAN,GRAVEYARD,DELTAPORT,,6,1.5,7.5
ELECTRICIAN,NIGHT,DELTAPORT,,7.5,1,8.5
ELECTRICIAN,NIGHT,NEPTUNE,,7.5,1.5,9
EXCAVATOR,NIGHT,NEPTUNE,,7.5,0.5,8
FIRST AID,DAY,CENTENNIAL,DOCK (FA),8,1,9
FIRST AID,DAY,CENTENNIAL,SHIP (FA),8,0.5,8.5
FIRST AID,DAY,DELTAPORT,DOCK (FA),8,0.5,8.5
FIRST AID,DAY,FRASER SURREY,DOCK (FA),9,0.5,9.5
FIRST AID,DAY,FRASER SURREY,SHIP (FA),8,0.5,8.5
FIRST AID,DAY,LYNNTERM,DOCK (FA),8,1,9
FIRST AID,DAY,NEPTUNE,DOCK (FA),8,1.5,9.5
FIRST AID,DAY,PORT MOODY,DOCK (FA),8,0.5,8.5
FIRST AID,DAY,PORT MOODY,STORES (FA),8,1,9
FIRST AID,DAY,VAN WHARVES,DOCK (FA),8,1.5,9.5
FIRST AID,DAY,VAN WHARVES,SHIP (FA),8,0.5,8.5
FIRST AID,DAY,VAN WHARVES,STORES (FA),8,1.5,9.5
FIRST AID,DAY,VANTERM,DOCK (FA),8,1,9
FIRST AID,DAY,WATERFRONT TRAIN. CNTR,DOCK (FA),8,0,8.25
FIRST AID,GRAVEYARD,CENTENNIAL,DOCK (FA),6.5,1,7.5
FIRST AID,GRAVEYARD,DELTAPORT,DOCK (FA),6.5,0.5,7
FIRST AID,GRAVEYARD,FRASER SURREY,DOCK (FA),7.5,0.5,8
FIRST AID,GRAVEYARD,FRASER SURREY,SHIP (FA),7.5,0.5,8
FIRST AID,GRAVEYARD,NEPTUNE,DOCK (FA),6.5,0.5,7
FIRST AID,GRAVEYARD,PORT MOODY,SHIP (FA),6.5,0.5,7
FIRST AID,GRAVEYARD,VAN WHARVES,DOCK (FA),6.5,0.5,7
FIRST AID,NIGHT,CENTENNIAL,DOCK (FA),8,1,9
FIRST AID,NIGHT,FRASER SURREY,SHIP (FA),8,0.5,8.5
FIRST AID,NIGHT,PORT MOODY,DOCK (FA),8,1,9
FIRST AID,NIGHT,PORT MOODY,STORES (FA),8,1,9
FRONT END LOADER,DAY,NEPTUNE,,7.5,0.5,8
FRONT END LOADER,DAY,VAN WHARVES,,7.5,1.5,9
FRONT END LOADER,GRAVEYARD,NEPTUNE,,6,0.5,6.5
FRONT END LOADER,GRAVEYARD,VAN WHARVES,,6,1.5,7.5
FRONT END LOADER,NIGHT,NEPTUNE,,7.5,0.5,8
FRONT END LOADER,NIGHT,VAN WHARVES,,7.5,0.5,8
HD MECHANIC,DAY,DELTAPORT,,7.5,0.5,8
HD MECHANIC,DAY,FRASER SURREY,,9,0,9
HD MECHANIC,GRAVEYARD,DELTAPORT,,6,0.5,6.5
HD MECHANIC,GRAVEYARD,FRASER SURREY,,8,0,8
HD MECHANIC,GRAVEYARD,VANTERM,,7,0,7
HD MECHANIC,NIGHT,DELTAPORT,,7.5,0.5,8
HD MECHANIC,NIGHT,FRASER SURREY,,9,0,9
HD MECHANIC,NIGHT,VANTERM,,6.5,0,6.5
HEAD CHECKER,DAY,CENTENNIAL,CANOPY (HC),8,2,10
HEAD CHECKER,DAY,CENTENNIAL,EQUIP. CONTROL (HC),8,2,10
HEAD CHECKER,DAY,CENTENNIAL,GOPHER (HC),8,1,9
HEAD CHECKER,DAY,CENTENNIAL,INGATE (HC),8,1,9
HEAD CHECKER,DAY,CENTENNIAL,PENTHOUSE (HC),8,2,10
HEAD CHECKER,DAY,CENTENNIAL,RAIL (HC),9,1,10
HEAD CHECKER,DAY,CENTENNIAL,RAIL PLANNER (HC),8,2,10
HEAD CHECKER,DAY,CENTENNIAL,RAIL PLNR -GOPHER  (HC),9,1,10
HEAD CHECKER,DAY,CENTENNIAL,REEFER (HC),8,1,9
HEAD CHECKER,DAY,CENTENNIAL,TOWER (HC),9,1,10
HEAD CHECKER,DAY,CENTENNIAL,YARD PLANNER (HC),8,2,10
HEAD CHECKER,DAY,LYNNTERM,CANOPY (HC),8,1.5,9.5
HEAD CHECKER,DAY,VANTERM,CANOPY (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,GOPHER (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,INGATE (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,OUTGATE (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,PENTHOUSE (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,RAIL (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,TOWER (HC),8,1,9
HEAD CHECKER,GRAVEYARD,CENTENNIAL,CANOPY (HC),7.5,1,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,EQUIP. CONTROL (HC),6.5,1,7.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,GOPHER (HC),6.5,1,7.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,INGATE (HC),7.5,0.5,8
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,1,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLANNER (HC),6.5,2,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLNR -GOPHER  (HC),7.5,1,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,TOWER (HC),7.5,0,7.5
HEAD CHECKER,GRAVEYARD,VANTERM,CANOPY (HC),6.5,0.5,7
HEAD CHECKER,GRAVEYARD,VANTERM,INGATE (HC),6.5,1.5,8
HEAD CHECKER,GRAVEYARD,VANTERM,RAIL (HC),6.5,1,7.5
HEAD CHECKER,GRAVEYARD,VANTERM,TOWER (HC),6.5,0.5,7
HEAD CHECKER,NIGHT,CENTENNIAL,CANOPY (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,EQUIP. CONTROL (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,GOPHER (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,INGATE (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,PENTHOUSE (HC),8,2,10
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL (HC),9,1,10
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLANNER (HC),8,2,10
