,DAYOFWEEK,JOBS,SHIFT,SUBJOB,LOCATION,STDREG,STDOT,DIFFERENTIAL,OTRATE,REGRATE,REGHRS,OTHRS,PAY,YEAR
mon-fri day,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,DAY,"RAIL, SHIP",CENTENNIAL,53.17,79.76,0.65,80.41,53.82,9,0, 484.38 ,2024
mon-fri night,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,NIGHT,"RAIL, SHIP",CENTENNIAL,66.98,100.47,0.65,101.12,67.63,9,0, 608.67 ,2024
mon-fri gravy,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,GRAVEYARD,"RAIL, SHIP",CENTENNIAL,82.73,124.1,0.65,124.75,83.38,7.5,0, 625.35 ,2024
Sat day,6,TRACTOR TRAILER,DAY,"RAIL, SHIP",CENTENNIAL,68.06,102.09,0.65,102.74,68.71,9,0, 618.39 ,2024
Sat night,6,TRACTOR TRAILER,NIGHT,"RAIL, SHIP",CENTENNIAL,85.07,127.61,0.65,128.26,85.72,9,0, 771.48 ,2024
Sat gravy,6,TRACTOR TRAILER,GRAVEYARD,"RAIL, SHIP",CENTENNIAL,85.07,127.61,0.65,128.26,85.72,7.5,0, 642.90 ,2024
Sun day,0,TRACTOR TRAILER,DAY,"RAIL, SHIP",CENTENNIAL,85.07,127.61,0.65,128.26,85.72,9,0, 771.48 ,2024
Sun night,0,TRACTOR TRAILER,NIGHT,"RAIL, SHIP",CENTENNIAL,85.07,127.61,0.65,128.26,85.72,9,0, 771.48 ,2024
Sun gravy,0,TRACTOR TRAILER,GRAVEYARD,"RAIL, SHIP",CENTENNIAL,85.07,127.61,0.65,128.26,85.72,7.5,0, 642.90 ,2024
mon-fri day,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,DAY,"BARGE, YARD","CENTENNIAL, VANTERM",53.17,79.76,0.65,80.41,53.82,8,0, 430.56 ,2024
mon-fri night,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,NIGHT,"BARGE, YARD","CENTENNIAL, VANTERM",66.98,100.47,0.65,101.12,67.63,8,0, 541.04 ,2024
mon-fri gravy,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,GRAVEYARD,"BARGE, YARD","CENTENNIAL, VANTERM",82.73,124.1,0.65,124.75,83.38,6.5,0, 541.97 ,2024
Sat day,6,TRACTOR TRAILER,DAY,"BARGE, YARD","CENTENNIAL, VANTERM",68.06,102.09,0.65,102.74,68.71,8,0, 549.68 ,2024
Sat night,6,TRACTOR TRAILER,NIGHT,"BARGE, YARD","CENTENNIAL, VANTERM",85.07,127.61,0.65,128.26,85.72,8,0, 685.76 ,2024
Sat gravy,6,TRACTOR TRAILER,GRAVEYARD,"BARGE, YARD","CENTENNIAL, VANTERM",85.07,127.61,0.65,128.26,85.72,6.5,0, 557.18 ,2024
Sun day,0,TRACTOR TRAILER,DAY,"BARGE, YARD","CENTENNIAL, VANTERM",85.07,127.61,0.65,128.26,85.72,8,0, 685.76 ,2024
Sun night,0,TRACTOR TRAILER,NIGHT,"BARGE, YARD","CENTENNIAL, VANTERM",85.07,127.61,0.65,128.26,85.72,8,0, 685.76 ,2024
Sun gravy,0,TRACTOR TRAILER,GRAVEYARD,"BARGE, YARD","CENTENNIAL, VANTERM",85.07,127.61,0.65,128.26,85.72,6.5,0, 557.18 ,2024
mon-fri day,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,DAY,SHIP,VANTERM,53.17,79.76,0.65,80.41,53.82,8,0, 430.56 ,2024
mon-fri night,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,NIGHT,SHIP,VANTERM,66.98,100.47,0.65,101.12,67.63,8,0, 541.04 ,2024
mon-fri gravy,"1 , 2 , 3 , 4 , 5",TRACTOR TRAILER,GRAVEYARD,SHIP,VANTERM,82.73,124.1,0.65,124.75,83.38,6.5,0, 541.97 ,2024
Sat day,6,TRACTOR TRAILER,DAY,SHIP,VANTERM,68.06,102.09,0.65,102.74,68.71,8,0, 549.68 ,2024
Sat night,6,TRACTOR TRAILER,NIGHT,SHIP,VANTERM,85.07,127.61,0.65,128.26,85.72,8,0, 685.76 ,2024
Sat gravy,6,TRACTOR TRAILER,GRAVEYARD,SHIP,VANTERM,85.07,127.61,0.65,128.26,85.72,6.5,0, 557.18 ,2024
Sun day,0,TRACTOR TRAILER,DAY,SHIP,VANTERM,85.07,127.61,0.65,128.26,85.72,8,0, 685.76 ,2024
Sun night,0,TRACTOR TRAILER,NIGHT,SHIP,VANTERM,85.07,127.61,0.65,128.26,85.72,8,0, 685.76 ,2024
Sun gravy,0,TRACTOR TRAILER,GRAVEYARD,SHIP,VANTERM,85.07,127.61,0.65,128.26,85.72,6.5,0, 557.18 ,2024
